Officer_ID,First_Name,Last_Name,Designation,Mobile_No,House_No,Street_Name,City,State,Zip,Email
OFF1,Vera,Parsons,Desk Officer,5126042608,GA-1,Chirag Delhi,New Delhi,New Delhi,110017,vparsons0@gnu.org
OFF2,Avril,Bouzek,Desk Officer,9137660112,GA-2,Sagarpur,New Delhi,New Delhi,110046,abouzek1@nsw.gov.au
OFF3,Andromache,Huc,Desk Officer,9737050589,GA-3,Rani Bagh,New Delhi,New Delhi,110034,ahuc2@blog.com
OFF4,Adamo,Smye,Desk Officer,7133090324,GA-4,Ansari Nagar,New Delhi,New Delhi,110029,asmye3@gnu.org
OFF5,Colman,Geertsen,Desk Officer,2022057079,GA-5,Bawana,New Delhi,New Delhi,110039,cgeertsen4@ftc.gov
OFF6,Jess,Sitch,Desk Officer,8133257226,GA-6,GTB Nagar,New Delhi,New Delhi,110009,jsitch5@buzzfeed.com
OFF7,Winnifred,Gatling,Desk Officer,4157546009,GA-7,Badarpur,New Delhi,New Delhi,110044,wgatling6@unesco.org
OFF8,Brod,Griffitt,Desk Officer,5594721233,GA-8,Badli,New Delhi,New Delhi,110042,bgriffitt7@baidu.com
OFF9,Sonni,Bowdrey,Desk Officer,8058795577,GA-9,Mandi,New Delhi,New Delhi,110047,sbowdrey8@geocities.jp
OFF10,Rakel,Schoroder,Desk Officer,4065730433,GA-10,Najafgarh,New Delhi,New Delhi,110043,rschoroder9@redcross.org
OFF11,Ky,Bickerton,Desk Officer,7189359814,GA-11,Chawri Bazar,New Delhi,New Delhi,110006,kbickertona@theguardian.com
OFF12,Carolina,Adam,Desk Officer,6126351102,GA-12,Geeta Colony,New Delhi,New Delhi,110031,cadamb@com.com
OFF13,Reed,Tomasicchio,Desk Officer,3195454855,GA-13,Tilak Nagar,New Delhi,New Delhi,110018,rtomasicchioc@sfgate.com
OFF14,Orelie,Fifoot,Desk Officer,3124290839,GA-14,Nehru Place,New Delhi,New Delhi,110019,ofifootd@gmpg.org
OFF15,Brinna,Fabbro,Desk Officer,7021248605,GA-15,Delhi Cantt,New Delhi,New Delhi,110010,bfabbroe@example.com
OFF16,Samantha,Moreinu,Desk Officer,3867212742,GA-16,Lajpat Nagar,New Delhi,New Delhi,110024,smoreinuf@ebay.com
OFF17,Forester,MacVay,Desk Officer,9131544736,GA-17,Darya Ganj,New Delhi,New Delhi,110002,fmacvayg@flavors.me
OFF18,Latashia,Kob,Desk Officer,6145227322,GA-18,Dabri,New Delhi,New Delhi,110045,lkobh@desdev.cn
OFF19,Amelie,Andrichuk,Desk Officer,8019635899,GA-19,Karam Pura,New Delhi,New Delhi,110015,aandrichuki@nifty.com
OFF20,Millard,Rilton,Desk Officer,2142256305,GA-20,Patel Nagar,New Delhi,New Delhi,110008,mriltonj@dyndns.org
OFF21,Erda,Sargison,Desk Officer,7858995407,GA-21,Jahangir Puri,New Delhi,New Delhi,110033,esargisonk@eventbrite.com
OFF22,Theodore,Cottey,Desk Officer,2484917973,GA-22,Nangloi,New Delhi,New Delhi,110041,tcotteyl@comsenz.com
OFF23,Thornie,Dyshart,Desk Officer,5749301946,GA-23,Kamla Nagar,New Delhi,New Delhi,110007,tdyshartm@t.co
OFF24,Darb,Clemits,Desk Officer,5099120773,GA-24,Greater Kailash,New Delhi,New Delhi,110048,dclemitsn@wikispaces.com
OFF25,Lauree,Billin,Desk Officer,2628806395,GA-25,New Friends Colony,New Delhi,New Delhi,110025,lbillino@unc.edu
OFF26,Saba,Layus,Desk Officer,2255527300,GA-26,Karol Bagh,New Delhi,New Delhi,110005,slayusp@liveinternet.ru
OFF27,Drusy,Corbyn,Desk Officer,4847238405,GA-27,Palam Airport,New Delhi,New Delhi,110037,dcorbynq@ovh.net
OFF28,Kylynn,MacMaster,Desk Officer,5202041871,GA-28,RK Puram,New Delhi,New Delhi,110022,kmacmasterr@qq.com
OFF29,Conway,Haythornthwaite,Desk Officer,8088350843,GA-29,Rajouri Garden,New Delhi,New Delhi,110027,chaythornthwaites@deviantart.com
OFF30,Randa,Strickett,Desk Officer,7852166526,GA-30,Pratap Market,New Delhi,New Delhi,110014,rstrickettt@go.com
OFF31,Fonsie,Sign,Desk Officer,4809838454,GA-31,Nirman Bhawan,New Delhi,New Delhi,110011,fsignu@odnoklassniki.ru
OFF32,Georgeanna,Rames,Desk Officer,5178694882,GA-32,Bakoli,New Delhi,New Delhi,110036,gramesv@wordpress.org
OFF33,Lidia,McChruiter,Desk Officer,8328563504,GA-33,Naraina Village & Industrial Area,New Delhi,New Delhi,110028,lmcchruiterw@jigsy.com
OFF34,Alain,Teffrey,Desk Officer,7163648054,GA-34,Keshav Puram,New Delhi,New Delhi,110035,ateffreyx@mozilla.org
OFF35,Anni,Handford,Desk Officer,6265495834,GA-35,IIT,New Delhi,New Delhi,110016,ahandfordy@nba.com
OFF36,Joel,McKerley,Desk Officer,2144810808,GA-36,Shivaji Park,New Delhi,New Delhi,110026,jmckerleyz@linkedin.com
OFF37,Ezequiel,Jovasevic,Desk Officer,3867258092,GA-37,Moti Bagh,New Delhi,New Delhi,110021,ejovasevic10@printfriendly.com
OFF38,Janella,Heinig,Desk Officer,6027430297,GA-38,Yusuf Sarai,New Delhi,New Delhi,110013,jheinig11@webnode.com
OFF39,Remington,Glader,Desk Officer,8049911535,GA-39,Narela,New Delhi,New Delhi,110040,rglader12@delicious.com
OFF40,Eberhard,Rizzardi,Desk Officer,4198552015,GA-40,Gautam Nagar,New Delhi,New Delhi,110049,erizzardi13@slashdot.org
OFF41,Inessa,Saipy,Desk Officer,7604926761,GA-41,Rajokari,New Delhi,New Delhi,110038,isaipy14@indiatimes.com
OFF42,Valene,Haitlie,Desk Officer,3183310855,GA-42,Krishna Nagar,New Delhi,New Delhi,110051,vhaitlie15@zimbio.com
OFF43,Garrot,Shelbourne,Desk Officer,7161259847,GA-43,Shivaji Park,New Delhi,New Delhi,110032,gshelbourne16@soundcloud.com
OFF44,Stacia,Wavell,Desk Officer,5053738352,GA-44,Sarojini Nagar,New Delhi,New Delhi,110023,swavell17@seesaa.net
OFF45,Moritz,Drews,Desk Officer,3184501147,GA-45,Mehrauli,New Delhi,New Delhi,110030,mdrews18@multiply.com
OFF46,Ibrahim,Emmerson,Desk Officer,2026890460,GA-46,Lodi Colony,New Delhi,New Delhi,110003,iemmerson19@guardian.co.uk
OFF47,Dun,Blazejewski,Desk Officer,4059553779,GA-47,Tekhand,New Delhi,New Delhi,110020,dblazejewski1a@hostgator.com
OFF48,Livvy,Boddis,Desk Officer,9207503529,GA-48,Janpath,New Delhi,New Delhi,110001,lboddis1b@ibm.com
OFF49,Staffard,Jobern,Desk Officer,7175629704,GA-49,Indra Puri,New Delhi,New Delhi,110012,sjobern1c@addthis.com
OFF50,Hedvig,Murrock,Desk Officer,5158683513,GA-50,Rashtrapati Bhavan,New Delhi,New Delhi,110004,hmurrock1d@illinois.edu
