Aadhar_No,Date,Prescription,Doctor_Name
237867112793,20200606,Hydrocodone Bitatrate and Acetaminophen,Juliette Rykert
237867112793,20200908,"SULFACETAMIDE SODIUM, SULFUR",Brady Bambra
908437627978,20200609,Loperamide HCl,Galvan Millis
373222493789,20200629,TITANIUM DIOXIDE,Gawain Trevers
810551972643,20200801,Diprivan,Heath Alven
385640753504,20201124,Citalopram Hydrobromide,Misti Akker
356168036153,20201122,disulfiram,Lizette Oliva
342368198831,20210201,POLYETHYLENE GLYCOL 400,Dody Vanyakin
414987583808,20200718,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Holden Kier
607080487089,20201213,doxycycline hyclate,Liliane Duckworth
471567817272,20210111,Air,Barbee Bollin
473488749586,20210205,Chlorpheniramine Maleate and Phenylephrine Hydrochloride,Emlynn Fielding
180734826974,20200814,capecitabine,Amandi Heyfield
314525578477,20200514,"Aesculus hippocastanum, Arnica montana, Calcarea fluorica, Carduus marianus, Collinsonia canadensis, Hamamelis virginiana, Muriaticum acidum, Ratanhia,",Georges Sarten
346907249932,20200802,Sodium chloride,Gabbi Woltering
154152724181,20200926,oxcarbazepine,Florian Metherell
911137437238,20201228,ALCOHOL,Enid Elmhirst
694922568266,20201118,"Standardized Grass Pollen, Grass Mix 5",Domini Michelle
952379638531,20200906,Sodium Fluoride,Jayson Marven
920737147403,20200318,Triclocarban,Candice Wiffield
603557210574,20200502,Carvedilol,Isabeau Cuncarr
548832865537,20210115,Ethyl Alcohol,Shandie Rushbrook
423562244420,20200916,Ibuprofen,Baily Caffrey
931505879906,20200414,BEE VENOM,Denyse Reskelly
413102222917,20201208,Donepezil hydrochloride,Salomo Sinnat
943160971775,20200404,ANTHEMIS NOBILIS,Minette Whatsize
499922556759,20201017,"chlophedianol HCl, chlorpheniramine maleate, and phenylephrine",Gizela Fishenden
119638996960,20210213,topiramate,West Milkin
327423254337,20201202,"Chlorpheniramine maleate, Phenylephrine HCl",Felecia Stockey
100178014787,20210117,Aspergillus fumigatus,Darnall Trayford
338142491655,20200427,Pramipexole Dihydrochloride,Andreas Dedmam
259345698077,20200701,ETHYL ALCOHOL,Lilian Southerden
456707273723,20200413,Diclofenac epolamine,Riane Barnsley
871160652776,20201006,interferon alfa2b,Michel Brookes
251383337291,20200423,Diltiazem Hydrochloride,Egon Natt
616491891133,20200921,Clobetasol Propionate,Lavinie McEntee
354384616317,20200223,"OCTINOXATE, TITANIUM DIOXIDE",Scarlett Petren
851509122928,20200304,CELECOXIB,Laurie Tytterton
119659930395,20210103,"Acetaminophen, Aspirin, Caffeine",Hillier Hook
984321588963,20200424,Lorazepam,Blaine Elster
822200571059,20200604,Triclosan,Mirelle Axtens
721002548304,20200917,benzalkonium chloride,Harlene Clavering
951143898623,20201104,Acetazolamide,Jemimah Taig
823180698685,20210120,methylergonovine maleate,Risa Mustchin
423826599473,20200818,Lisinopril,Mariquilla Stonehouse
515974022286,20200628,"Dextromethorphan HBr, Guaifenesin",Ferguson Kellogg
706709233895,20210105,gemcitabine,Bengt Francescotti
298009217223,20200622,Aluminum zirconium tetrachlorohydrex gly,Ignacio Roelofs
381292166114,20200412,Warfarin Sodium,Engelbert Glentworth
105139773247,20200810,Propranolol Hydrochloride,Hadley McCartan
