Aadhar_No,First_name,Last_name,DOB,Mobile_No,House_No,Street_Name,City,State,Zip,F_ID
237867112793,Sam,Trunkfield,19430823,9045611000,LU-1,Janpath,New Delhi,New Delhi,110001,FAM1
965819576845,Karlens,Foyston,19571221,8088162429,LU-2,Darya Ganj,New Delhi,New Delhi,110002,FAM2
908437627978,Carter,Tissiman,19530731,7192593448,LU-3,Lodi Colony,New Delhi,New Delhi,110003,FAM3
373222493789,Floris,Vanyukhin,19580408,6619969767,LU-4,Rashtrapati Bhavan,New Delhi,New Delhi,110004,FAM4
810551972643,Annabelle,Lipscombe,19430927,6097904708,LU-5,Karol Bagh,New Delhi,New Delhi,110005,FAM5
385640753504,Trude,Darte,19510710,7548215064,LU-6,Chawri Bazar,New Delhi,New Delhi,110006,FAM6
356168036153,Trumaine,Killingbeck,19441222,5107240380,LU-7,Kamla Nagar,New Delhi,New Delhi,110007,FAM7
342368198831,Conni,Georgescu,19561218,4129437058,LU-8,Patel Nagar,New Delhi,New Delhi,110008,FAM8
414987583808,Ruthe,Brazear,19490827,8104530960,LU-9,GTB Nagar,New Delhi,New Delhi,110009,FAM9
607080487089,Augustine,Ellerby,19451130,5717996482,LU-10,Delhi Cantt,New Delhi,New Delhi,110010,FAM10
471567817272,Dietrich,McGaughie,19500506,7048316260,LU-11,Nirman Bhawan,New Delhi,New Delhi,110011,FAM11
473488749586,Wiley,Ucceli,19520620,6028955241,LU-12,Indra Puri,New Delhi,New Delhi,110012,FAM12
180734826974,Moyra,Salvin,19480531,5059215746,LU-13,Yusuf Sarai,New Delhi,New Delhi,110013,FAM13
314525578477,Stanislaw,MacKonochie,19401128,5309953238,LU-14,Pratap Market,New Delhi,New Delhi,110014,FAM14
346907249932,Verne,Gamil,19451010,7032519418,LU-15,Karam Pura,New Delhi,New Delhi,110015,FAM15
154152724181,Susanne,Ratlee,19421210,6463680800,LU-16,IIT,New Delhi,New Delhi,110016,FAM16
911137437238,Danica,Aldine,19480905,3034879660,LU-17,Chirag Delhi,New Delhi,New Delhi,110017,FAM17
694922568266,Arabele,Doone,19480126,9143257283,LU-18,Tilak Nagar,New Delhi,New Delhi,110018,FAM18
952379638531,Glendon,Egginton,19561001,9182182565,LU-19,Nehru Place,New Delhi,New Delhi,110019,FAM19
920737147403,Randee,Tremelling,19571102,2543967600,LU-20,Tekhand,New Delhi,New Delhi,110020,FAM20
603557210574,Elisabeth,Rouge,19410530,5704206130,LU-21,Moti Bagh,New Delhi,New Delhi,110021,FAM21
548832865537,Ellynn,Lumly,19560225,6164736041,LU-22,RK Puram,New Delhi,New Delhi,110022,FAM22
423562244420,Shayla,Strodder,19480405,7027960094,LU-23,Sarojini Nagar,New Delhi,New Delhi,110023,FAM23
931505879906,Faunie,Ellesworth,19570508,8062401507,LU-24,Lajpat Nagar,New Delhi,New Delhi,110024,FAM24
413102222917,Cory,Leverington,19510902,3523785629,LU-25,New Friends Colony,New Delhi,New Delhi,110025,FAM25
943160971775,Hurleigh,Readie,19570311,2123299236,LU-26,Shivaji Park,New Delhi,New Delhi,110026,FAM26
499922556759,Griffith,MacGuffog,19401229,7277550717,LU-27,Rajouri Garden,New Delhi,New Delhi,110027,FAM27
119638996960,Emma,Pinches,19410120,7061336983,LU-28,Naraina Village & Industrial Area,New Delhi,New Delhi,110028,FAM28
327423254337,Darsie,Bointon,19520913,4436075504,LU-29,Ansari Nagar,New Delhi,New Delhi,110029,FAM29
100178014787,Torrance,Tapton,19480308,5186409979,LU-30,Mehrauli,New Delhi,New Delhi,110030,FAM30
338142491655,Keri,Donnison,19410311,8288015988,LU-31,Geeta Colony,New Delhi,New Delhi,110031,FAM31
259345698077,Arlie,Stout,19500904,3047150049,LU-32,Shivaji Park,New Delhi,New Delhi,110032,FAM32
456707273723,Zarla,Hearthfield,19510225,5185062662,LU-33,Jahangir Puri,New Delhi,New Delhi,110033,FAM33
871160652776,Lilyan,Bigham,19560428,5036676369,LU-34,Rani Bagh,New Delhi,New Delhi,110034,FAM34
251383337291,Richart,Pruce,19430329,9795441520,LU-35,Keshav Puram,New Delhi,New Delhi,110035,FAM35
616491891133,Betty,Pfaff,19470405,3033433372,LU-36,Bakoli,New Delhi,New Delhi,110036,FAM36
354384616317,Roscoe,Londer,19481222,5153896284,LU-37,Palam Airport,New Delhi,New Delhi,110037,FAM37
851509122928,Cull,Sothern,19501025,5019874741,LU-38,Rajokari,New Delhi,New Delhi,110038,FAM38
119659930395,Daven,Boolsen,19490204,9013713155,LU-39,Bawana,New Delhi,New Delhi,110039,FAM39
984321588963,Marshall,Schout,19431107,8057273315,LU-40,Narela,New Delhi,New Delhi,110040,FAM40
822200571059,Emera,Heyburn,19530726,9714382480,LU-41,Nangloi,New Delhi,New Delhi,110041,FAM41
721002548304,Fiona,Casellas,19430113,9163799253,LU-42,Badli,New Delhi,New Delhi,110042,FAM42
951143898623,Miles,Chard,19480530,7574379478,LU-43,Najafgarh,New Delhi,New Delhi,110043,FAM43
823180698685,Rhett,Callow,19420101,9014004662,LU-44,Badarpur,New Delhi,New Delhi,110044,FAM44
423826599473,Nata,Fynan,19420718,3376246593,LU-45,Dabri,New Delhi,New Delhi,110045,FAM45
515974022286,Susie,Ayre,19430616,3368308656,LU-46,Sagarpur,New Delhi,New Delhi,110046,FAM46
706709233895,Izak,Cecil,19440217,7145558765,LU-47,Mandi,New Delhi,New Delhi,110047,FAM47
298009217223,Engelbert,Lent,19550514,2029982281,LU-48,Greater Kailash,New Delhi,New Delhi,110048,FAM48
381292166114,Mary,Sherrett,19511024,7143017849,LU-49,Gautam Nagar,New Delhi,New Delhi,110049,FAM49
105139773247,Krystalle,Spinney,19400308,5189107311,LU-50,Krishna Nagar,New Delhi,New Delhi,110051,FAM50
