Service_ID,Details,Service_Status,Aadhar_No,Start_Date,End_Date,Type
SER1,I would like to request a medical checkup,Completed,237867112793,20200128,20200415,HW
SER2,I would like to request a medical checkup,Completed,237867112793,20200630,20200825,HW
SER3,I would like to request a medical checkup,Completed,908437627978,20210118,20210801,HW
SER4,I would like to request a medical checkup,inprogress,237867112793,20210119,NULL,HW
SER5,I would like to request a medical checkup,inprogress,810551972643,20200823,NULL,HW
SER6,I would like to request a medical checkup,completed,385640753504,20200301,20210207,HW
SER7,I would like to request a medical checkup,completed,356168036153,20200818,20200819,HW
SER8,I would like to request a medical checkup,completed,342368198831,20201116,20201214,HW
SER9,I would like to request a medical checkup,completed,414987583808,20201120,20210105,HW
SER10,I would like to request a medical checkup,completed,607080487089,20200608,20200801,HW
SER11,I would like to request a medical checkup,completed,471567817272,20200606,20201218,HW
SER12,I would like to request a medical checkup,completed,473488749586,20201026,20201110,HW
SER13,I would like to request a medical checkup,inprogress,180734826974,20201212,NULL,HW
SER14,I would like to request a medical checkup,completed,314525578477,20200517,20200829,HW
SER15,I would like to request a medical checkup,inprogress,346907249932,20200307,NULL,HW
SER16,I would like to request a medical checkup,completed,154152724181,20210106,20210130,HW
SER17,I would like to request a medical checkup,inprogress,911137437238,20200810,NULL,HW
SER18,I would like to request a medical checkup,inprogress,694922568266,20201109,NULL,HW
SER19,I would like to request a medical checkup,completed,952379638531,20210117,20210303,HW
SER20,I would like to request a medical checkup,inprogress,920737147403,20201111,NULL,HW
SER21,I would like to request a medical checkup,completed,603557210574,20200527,20200815,HW
SER22,I would like to request a medical checkup,completed,548832865537,20200409,20200416,HW
SER23,I would like to request a medical checkup,completed,423562244420,20200301,20210121,HW
SER24,I would like to request a medical checkup,completed,931505879906,20201024,20201117,HW
SER25,I would like to request a car pickup on this date at this time,inprogress,413102222917,20200918,NULL,NGO
SER26,I would like to request a car pickup on this date at this time,inprogress,943160971775,20201224,NULL,NGO
SER27,I would like to request a car pickup on this date at this time,inprogress,499922556759,20200603,NULL,NGO
SER28,I would like to request a car pickup on this date at this time,inprogress,237867112793,20201206,NULL,NGO
SER29,I would like to request a car pickup on this date at this time,inprogress,327423254337,20200410,NULL,NGO
SER30,I would like to request a car pickup on this date at this time,completed,100178014787,20200710,20200904,NGO
SER31,I would like to request a car pickup on this date at this time,inprogress,338142491655,20200706,NULL,NGO
SER32,I would like to request a car pickup on this date at this time,completed,259345698077,20200403,20200630,NGO
SER33,I would like to request a car pickup on this date at this time,inprogress,456707273723,20200515,NULL,NGO
SER34,I would like to request a car pickup on this date at this time,completed,871160652776,20201105,20210214,NGO
SER35,I would like to request a car pickup on this date at this time,inprogress,251383337291,20210211,NULL,NGO
SER36,I would like to request a car pickup on this date at this time,completed,616491891133,20201103,20201212,NGO
SER37,I would like to request a car pickup on this date at this time,completed,354384616317,20201210,20201211,NGO
SER38,I would like to request a car pickup on this date at this time,completed,851509122928,20200710,20200826,NGO
SER39,I would like to request a car pickup on this date at this time,inprogress,119659930395,20201114,NULL,NGO
SER40,I would like to request a car pickup on this date at this time,completed,984321588963,20200827,20201231,NGO
SER41,I would like to request a car pickup on this date at this time,completed,822200571059,20201226,20210214,NGO
SER42,I would like to request a car pickup on this date at this time,inprogress,721002548304,20200720,NULL,NGO
SER43,I would like to request a car pickup on this date at this time,inprogress,951143898623,20200717,NULL,NGO
SER44,I would like to request a car pickup on this date at this time,inprogress,823180698685,20210108,NULL,NGO
SER45,I would like to request a car pickup on this date at this time,inprogress,423826599473,20200508,NULL,NGO
SER46,I would like to request a car pickup on this date at this time,inprogress,515974022286,20200725,NULL,NGO
SER47,I would like to request a car pickup on this date at this time,completed,706709233895,20200514,20201107,NGO
SER48,I would like to request a car pickup on this date at this time,inprogress,298009217223,20201129,NULL,NGO
SER49,I would like to request a car pickup on this date at this time,requested,237867112793,20210417,NULL,NULL
SER50,I would like to request a car pickup on this date at this time,requested,105139773247,20210418,NULL,NULL
